sequence,quest_id,project,chapter,kind,title,workspace,files,prompt,verification
468,ADA-P3-01-08,Project 3 — Rescue Run SDL,Open an SDL Window,Refactor,Open an SDL Window — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,alire.toml; src/rescue_run_sdl.adb; src/sdl_context.ads,Refactor the chapter implementation so SDLada dependency and lifecycle is clearer without changing behavior.,"The window opens, reports errors clearly, and exits without leaked resources."
469,ADA-P3-01-09,Project 3 — Rescue Run SDL,Open an SDL Window,Integrate,Open an SDL Window — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,alire.toml; src/rescue_run_sdl.adb; src/sdl_context.ads,"Integrate this chapter into the running final product so it works with earlier milestones: Add SDLada through Alire, initialize SDL, create a window, and shut down safely.","The window opens, reports errors clearly, and exits without leaked resources."
470,ADA-P3-01-10,Project 3 — Rescue Run SDL,Open an SDL Window,Review,Open an SDL Window — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,alire.toml; src/rescue_run_sdl.adb; src/sdl_context.ads,Perform a senior-style checkpoint review of Open an SDL Window in Rescue Run SDL.,"The window opens, reports errors clearly, and exits without leaked resources."
471,ADA-P3-02-01,Project 3 — Rescue Run SDL,Draw Basic Shapes,Question,Draw Basic Shapes — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,"Answer one focused question before editing code: How should Renderers, colors, coordinates, and resource wrappers be used to accomplish this milestone: Create a renderer and draw the player, walls, and background using primitives.",A deterministic scene draws at expected pixel positions.
472,ADA-P3-02-02,Project 3 — Rescue Run SDL,Draw Basic Shapes,Code Reading,Draw Basic Shapes — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,"Read the current implementation around src/rendering.ads, src/rendering.adb. Trace how data enters, changes, and leaves the code for this milestone: Create a renderer and draw the player, walls, and background using primitives.",A deterministic scene draws at expected pixel positions.
473,ADA-P3-02-03,Project 3 — Rescue Run SDL,Draw Basic Shapes,Predict,Draw Basic Shapes — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,Predict the exact behavior if the implementation encounters this problem: Mixing world and screen coordinates or using invalid destroyed handles.,A deterministic scene draws at expected pixel positions.
474,ADA-P3-02-04,Project 3 — Rescue Run SDL,Draw Basic Shapes,Implement,Draw Basic Shapes — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,"Implement the core milestone in the existing rescue_run_sdl crate: Create a renderer and draw the player, walls, and background using primitives.",A deterministic scene draws at expected pixel positions.
475,ADA-P3-02-05,Project 3 — Rescue Run SDL,Draw Basic Shapes,Extend,Draw Basic Shapes — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,Extend the completed milestone with this practical variation: Add a small render command abstraction to keep SDL calls out of game rules.,A deterministic scene draws at expected pixel positions.
476,ADA-P3-02-06,Project 3 — Rescue Run SDL,Draw Basic Shapes,Test,Draw Basic Shapes — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Create a renderer and draw the player, walls, and background using primitives.",A deterministic scene draws at expected pixel positions.
477,ADA-P3-02-07,Project 3 — Rescue Run SDL,Draw Basic Shapes,Repair,Draw Basic Shapes — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,Reproduce and repair this defect class in the current project: Mixing world and screen coordinates or using invalid destroyed handles.,A deterministic scene draws at expected pixel positions.
478,ADA-P3-02-08,Project 3 — Rescue Run SDL,Draw Basic Shapes,Refactor,Draw Basic Shapes — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,"Refactor the chapter implementation so Renderers, colors, coordinates, and resource wrappers is clearer without changing behavior.",A deterministic scene draws at expected pixel positions.
479,ADA-P3-02-09,Project 3 — Rescue Run SDL,Draw Basic Shapes,Integrate,Draw Basic Shapes — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Create a renderer and draw the player, walls, and background using primitives.",A deterministic scene draws at expected pixel positions.
480,ADA-P3-02-10,Project 3 — Rescue Run SDL,Draw Basic Shapes,Review,Draw Basic Shapes — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/rendering.ads; src/rendering.adb,Perform a senior-style checkpoint review of Draw Basic Shapes in Rescue Run SDL.,A deterministic scene draws at expected pixel positions.
481,ADA-P3-03-01,Project 3 — Rescue Run SDL,Process SDL Events,Question,Process SDL Events — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,"Answer one focused question before editing code: How should Event unions, polling loops, and quit behavior be used to accomplish this milestone: Handle window close, keyboard, focus, and resize events without blocking rendering.",Quit and resize work reliably and the loop remains responsive.
482,ADA-P3-03-02,Project 3 — Rescue Run SDL,Process SDL Events,Code Reading,Process SDL Events — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,"Read the current implementation around src/input_events.ads, src/input_events.adb. Trace how data enters, changes, and leaves the code for this milestone: Handle window close, keyboard, focus, and resize events without blocking rendering.",Quit and resize work reliably and the loop remains responsive.
483,ADA-P3-03-03,Project 3 — Rescue Run SDL,Process SDL Events,Predict,Process SDL Events — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,Predict the exact behavior if the implementation encounters this problem: Reading the wrong event variant or placing all behavior inside the event switch.,Quit and resize work reliably and the loop remains responsive.
484,ADA-P3-03-04,Project 3 — Rescue Run SDL,Process SDL Events,Implement,Process SDL Events — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,"Implement the core milestone in the existing rescue_run_sdl crate: Handle window close, keyboard, focus, and resize events without blocking rendering.",Quit and resize work reliably and the loop remains responsive.
485,ADA-P3-03-05,Project 3 — Rescue Run SDL,Process SDL Events,Extend,Process SDL Events — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,Extend the completed milestone with this practical variation: Log unknown events in a development mode.,Quit and resize work reliably and the loop remains responsive.
486,ADA-P3-03-06,Project 3 — Rescue Run SDL,Process SDL Events,Test,Process SDL Events — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Handle window close, keyboard, focus, and resize events without blocking rendering.",Quit and resize work reliably and the loop remains responsive.
487,ADA-P3-03-07,Project 3 — Rescue Run SDL,Process SDL Events,Repair,Process SDL Events — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,Reproduce and repair this defect class in the current project: Reading the wrong event variant or placing all behavior inside the event switch.,Quit and resize work reliably and the loop remains responsive.
488,ADA-P3-03-08,Project 3 — Rescue Run SDL,Process SDL Events,Refactor,Process SDL Events — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,"Refactor the chapter implementation so Event unions, polling loops, and quit behavior is clearer without changing behavior.",Quit and resize work reliably and the loop remains responsive.
489,ADA-P3-03-09,Project 3 — Rescue Run SDL,Process SDL Events,Integrate,Process SDL Events — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Handle window close, keyboard, focus, and resize events without blocking rendering.",Quit and resize work reliably and the loop remains responsive.
490,ADA-P3-03-10,Project 3 — Rescue Run SDL,Process SDL Events,Review,Process SDL Events — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input_events.ads; src/input_events.adb,Perform a senior-style checkpoint review of Process SDL Events in Rescue Run SDL.,Quit and resize work reliably and the loop remains responsive.
491,ADA-P3-04-01,Project 3 — Rescue Run SDL,Create an Input Abstraction,Question,Create an Input Abstraction — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Answer one focused question before editing code: How should State versus events and command mapping be used to accomplish this milestone: Translate keyboard state into game commands independent of SDL scancodes.,Game logic can be tested with synthetic input snapshots.
492,ADA-P3-04-02,Project 3 — Rescue Run SDL,Create an Input Abstraction,Code Reading,Create an Input Abstraction — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,"Read the current implementation around src/input.ads, src/input.adb, data/settings.cfg. Trace how data enters, changes, and leaves the code for this milestone: Translate keyboard state into game commands independent of SDL scancodes.",Game logic can be tested with synthetic input snapshots.
493,ADA-P3-04-03,Project 3 — Rescue Run SDL,Create an Input Abstraction,Predict,Create an Input Abstraction — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Predict the exact behavior if the implementation encounters this problem: Tying player logic directly to SDL packages or missing key-release behavior.,Game logic can be tested with synthetic input snapshots.
494,ADA-P3-04-04,Project 3 — Rescue Run SDL,Create an Input Abstraction,Implement,Create an Input Abstraction — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Implement the core milestone in the existing rescue_run_sdl crate: Translate keyboard state into game commands independent of SDL scancodes.,Game logic can be tested with synthetic input snapshots.
495,ADA-P3-04-05,Project 3 — Rescue Run SDL,Create an Input Abstraction,Extend,Create an Input Abstraction — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Extend the completed milestone with this practical variation: Support remappable controls loaded from configuration.,Game logic can be tested with synthetic input snapshots.
496,ADA-P3-04-06,Project 3 — Rescue Run SDL,Create an Input Abstraction,Test,Create an Input Abstraction — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Create automated or repeatable tests that prove the milestone and its boundaries: Translate keyboard state into game commands independent of SDL scancodes.,Game logic can be tested with synthetic input snapshots.
497,ADA-P3-04-07,Project 3 — Rescue Run SDL,Create an Input Abstraction,Repair,Create an Input Abstraction — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Reproduce and repair this defect class in the current project: Tying player logic directly to SDL packages or missing key-release behavior.,Game logic can be tested with synthetic input snapshots.
498,ADA-P3-04-08,Project 3 — Rescue Run SDL,Create an Input Abstraction,Refactor,Create an Input Abstraction — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Refactor the chapter implementation so State versus events and command mapping is clearer without changing behavior.,Game logic can be tested with synthetic input snapshots.
499,ADA-P3-04-09,Project 3 — Rescue Run SDL,Create an Input Abstraction,Integrate,Create an Input Abstraction — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Integrate this chapter into the running final product so it works with earlier milestones: Translate keyboard state into game commands independent of SDL scancodes.,Game logic can be tested with synthetic input snapshots.
500,ADA-P3-04-10,Project 3 — Rescue Run SDL,Create an Input Abstraction,Review,Create an Input Abstraction — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/input.ads; src/input.adb; data/settings.cfg,Perform a senior-style checkpoint review of Create an Input Abstraction in Rescue Run SDL.,Game logic can be tested with synthetic input snapshots.
501,ADA-P3-05-01,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Question,Use a Fixed Update Step — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,"Answer one focused question before editing code: How should Frame time, accumulator loops, and interpolation be used to accomplish this milestone: Separate variable rendering frequency from a fixed game update rate.",Movement speed is stable at different render rates.
502,ADA-P3-05-02,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Code Reading,Use a Fixed Update Step — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,"Read the current implementation around src/game_clock.ads, src/game_clock.adb, src/game_loop.adb. Trace how data enters, changes, and leaves the code for this milestone: Separate variable rendering frequency from a fixed game update rate.",Movement speed is stable at different render rates.
503,ADA-P3-05-03,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Predict,Use a Fixed Update Step — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,Predict the exact behavior if the implementation encounters this problem: Moving by pixels per frame or allowing a long pause to run thousands of updates.,Movement speed is stable at different render rates.
504,ADA-P3-05-04,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Implement,Use a Fixed Update Step — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,Implement the core milestone in the existing rescue_run_sdl crate: Separate variable rendering frequency from a fixed game update rate.,Movement speed is stable at different render rates.
505,ADA-P3-05-05,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Extend,Use a Fixed Update Step — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,Extend the completed milestone with this practical variation: Add frame-time statistics and a maximum catch-up limit.,Movement speed is stable at different render rates.
506,ADA-P3-05-06,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Test,Use a Fixed Update Step — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Separate variable rendering frequency from a fixed game update rate.,Movement speed is stable at different render rates.
507,ADA-P3-05-07,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Repair,Use a Fixed Update Step — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,Reproduce and repair this defect class in the current project: Moving by pixels per frame or allowing a long pause to run thousands of updates.,Movement speed is stable at different render rates.
508,ADA-P3-05-08,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Refactor,Use a Fixed Update Step — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,"Refactor the chapter implementation so Frame time, accumulator loops, and interpolation is clearer without changing behavior.",Movement speed is stable at different render rates.
509,ADA-P3-05-09,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Integrate,Use a Fixed Update Step — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,Integrate this chapter into the running final product so it works with earlier milestones: Separate variable rendering frequency from a fixed game update rate.,Movement speed is stable at different render rates.
510,ADA-P3-05-10,Project 3 — Rescue Run SDL,Use a Fixed Update Step,Review,Use a Fixed Update Step — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/game_clock.ads; src/game_clock.adb; src/game_loop.adb,Perform a senior-style checkpoint review of Use a Fixed Update Step in Rescue Run SDL.,Movement speed is stable at different render rates.
511,ADA-P3-06-01,Project 3 — Rescue Run SDL,Move the Player,Question,Move the Player — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,"Answer one focused question before editing code: How should Vectors, velocity, acceleration, and input response be used to accomplish this milestone: Implement responsive top-down movement with normalized diagonal speed.",Cardinal and diagonal travel cover expected distances.
512,ADA-P3-06-02,Project 3 — Rescue Run SDL,Move the Player,Code Reading,Move the Player — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,"Read the current implementation around src/player.ads, src/player.adb, src/game_update.adb. Trace how data enters, changes, and leaves the code for this milestone: Implement responsive top-down movement with normalized diagonal speed.",Cardinal and diagonal travel cover expected distances.
513,ADA-P3-06-03,Project 3 — Rescue Run SDL,Move the Player,Predict,Move the Player — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,Predict the exact behavior if the implementation encounters this problem: Diagonal movement being faster or velocity retaining stale input.,Cardinal and diagonal travel cover expected distances.
514,ADA-P3-06-04,Project 3 — Rescue Run SDL,Move the Player,Implement,Move the Player — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,Implement the core milestone in the existing rescue_run_sdl crate: Implement responsive top-down movement with normalized diagonal speed.,Cardinal and diagonal travel cover expected distances.
515,ADA-P3-06-05,Project 3 — Rescue Run SDL,Move the Player,Extend,Move the Player — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,Extend the completed milestone with this practical variation: Add sprint or acceleration while preserving deterministic updates.,Cardinal and diagonal travel cover expected distances.
516,ADA-P3-06-06,Project 3 — Rescue Run SDL,Move the Player,Test,Move the Player — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,Create automated or repeatable tests that prove the milestone and its boundaries: Implement responsive top-down movement with normalized diagonal speed.,Cardinal and diagonal travel cover expected distances.
517,ADA-P3-06-07,Project 3 — Rescue Run SDL,Move the Player,Repair,Move the Player — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,Reproduce and repair this defect class in the current project: Diagonal movement being faster or velocity retaining stale input.,Cardinal and diagonal travel cover expected distances.
518,ADA-P3-06-08,Project 3 — Rescue Run SDL,Move the Player,Refactor,Move the Player — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,"Refactor the chapter implementation so Vectors, velocity, acceleration, and input response is clearer without changing behavior.",Cardinal and diagonal travel cover expected distances.
519,ADA-P3-06-09,Project 3 — Rescue Run SDL,Move the Player,Integrate,Move the Player — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,Integrate this chapter into the running final product so it works with earlier milestones: Implement responsive top-down movement with normalized diagonal speed.,Cardinal and diagonal travel cover expected distances.
520,ADA-P3-06-10,Project 3 — Rescue Run SDL,Move the Player,Review,Move the Player — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/player.ads; src/player.adb; src/game_update.adb,Perform a senior-style checkpoint review of Move the Player in Rescue Run SDL.,Cardinal and diagonal travel cover expected distances.
521,ADA-P3-07-01,Project 3 — Rescue Run SDL,Reuse the Map Format,Question,Reuse the Map Format — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Answer one focused question before editing code: How should Data adapters and shared format concepts be used to accomplish this milestone: Load the Dungeon Walk map format into an SDL-oriented world model.,The same logical map can be viewed in terminal and SDL projects.
522,ADA-P3-07-02,Project 3 — Rescue Run SDL,Reuse the Map Format,Code Reading,Reuse the Map Format — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,"Read the current implementation around src/map_loader.ads, src/map_loader.adb, data/maps/rescue.map. Trace how data enters, changes, and leaves the code for this milestone: Load the Dungeon Walk map format into an SDL-oriented world model.",The same logical map can be viewed in terminal and SDL projects.
523,ADA-P3-07-03,Project 3 — Rescue Run SDL,Reuse the Map Format,Predict,Reuse the Map Format — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Predict the exact behavior if the implementation encounters this problem: Copying renderer concerns into the parser or silently accepting unsupported symbols.,The same logical map can be viewed in terminal and SDL projects.
524,ADA-P3-07-04,Project 3 — Rescue Run SDL,Reuse the Map Format,Implement,Reuse the Map Format — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Implement the core milestone in the existing rescue_run_sdl crate: Load the Dungeon Walk map format into an SDL-oriented world model.,The same logical map can be viewed in terminal and SDL projects.
525,ADA-P3-07-05,Project 3 — Rescue Run SDL,Reuse the Map Format,Extend,Reuse the Map Format — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,"Extend the completed milestone with this practical variation: Support metadata for tile size, spawn, and named exits.",The same logical map can be viewed in terminal and SDL projects.
526,ADA-P3-07-06,Project 3 — Rescue Run SDL,Reuse the Map Format,Test,Reuse the Map Format — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Create automated or repeatable tests that prove the milestone and its boundaries: Load the Dungeon Walk map format into an SDL-oriented world model.,The same logical map can be viewed in terminal and SDL projects.
527,ADA-P3-07-07,Project 3 — Rescue Run SDL,Reuse the Map Format,Repair,Reuse the Map Format — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Reproduce and repair this defect class in the current project: Copying renderer concerns into the parser or silently accepting unsupported symbols.,The same logical map can be viewed in terminal and SDL projects.
528,ADA-P3-07-08,Project 3 — Rescue Run SDL,Reuse the Map Format,Refactor,Reuse the Map Format — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Refactor the chapter implementation so Data adapters and shared format concepts is clearer without changing behavior.,The same logical map can be viewed in terminal and SDL projects.
529,ADA-P3-07-09,Project 3 — Rescue Run SDL,Reuse the Map Format,Integrate,Reuse the Map Format — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Integrate this chapter into the running final product so it works with earlier milestones: Load the Dungeon Walk map format into an SDL-oriented world model.,The same logical map can be viewed in terminal and SDL projects.
530,ADA-P3-07-10,Project 3 — Rescue Run SDL,Reuse the Map Format,Review,Reuse the Map Format — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/map_loader.ads; src/map_loader.adb; data/maps/rescue.map,Perform a senior-style checkpoint review of Reuse the Map Format in Rescue Run SDL.,The same logical map can be viewed in terminal and SDL projects.
531,ADA-P3-08-01,Project 3 — Rescue Run SDL,Render Tile Maps,Question,Render Tile Maps — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,"Answer one focused question before editing code: How should Nested iteration, clipping, and tile lookup be used to accomplish this milestone: Draw only visible floor, wall, hazard, and exit tiles.",A large map renders correctly with visible-region clipping.
532,ADA-P3-08-02,Project 3 — Rescue Run SDL,Render Tile Maps,Code Reading,Render Tile Maps — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,"Read the current implementation around src/tile_renderer.ads, src/tile_renderer.adb. Trace how data enters, changes, and leaves the code for this milestone: Draw only visible floor, wall, hazard, and exit tiles.",A large map renders correctly with visible-region clipping.
533,ADA-P3-08-03,Project 3 — Rescue Run SDL,Render Tile Maps,Predict,Render Tile Maps — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,Predict the exact behavior if the implementation encounters this problem: Drawing the full world every frame or swapping row and column axes.,A large map renders correctly with visible-region clipping.
534,ADA-P3-08-04,Project 3 — Rescue Run SDL,Render Tile Maps,Implement,Render Tile Maps — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,"Implement the core milestone in the existing rescue_run_sdl crate: Draw only visible floor, wall, hazard, and exit tiles.",A large map renders correctly with visible-region clipping.
535,ADA-P3-08-05,Project 3 — Rescue Run SDL,Render Tile Maps,Extend,Render Tile Maps — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,Extend the completed milestone with this practical variation: Add debug grid and collision overlays.,A large map renders correctly with visible-region clipping.
536,ADA-P3-08-06,Project 3 — Rescue Run SDL,Render Tile Maps,Test,Render Tile Maps — Test,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,"Create automated or repeatable tests that prove the milestone and its boundaries: Draw only visible floor, wall, hazard, and exit tiles.",A large map renders correctly with visible-region clipping.
537,ADA-P3-08-07,Project 3 — Rescue Run SDL,Render Tile Maps,Repair,Render Tile Maps — Repair,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,Reproduce and repair this defect class in the current project: Drawing the full world every frame or swapping row and column axes.,A large map renders correctly with visible-region clipping.
538,ADA-P3-08-08,Project 3 — Rescue Run SDL,Render Tile Maps,Refactor,Render Tile Maps — Refactor,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,"Refactor the chapter implementation so Nested iteration, clipping, and tile lookup is clearer without changing behavior.",A large map renders correctly with visible-region clipping.
539,ADA-P3-08-09,Project 3 — Rescue Run SDL,Render Tile Maps,Integrate,Render Tile Maps — Integrate,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,"Integrate this chapter into the running final product so it works with earlier milestones: Draw only visible floor, wall, hazard, and exit tiles.",A large map renders correctly with visible-region clipping.
540,ADA-P3-08-10,Project 3 — Rescue Run SDL,Render Tile Maps,Review,Render Tile Maps — Review,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/tile_renderer.ads; src/tile_renderer.adb,Perform a senior-style checkpoint review of Render Tile Maps in Rescue Run SDL.,A large map renders correctly with visible-region clipping.
541,ADA-P3-09-01,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Question,Follow the Player with a Camera — Question,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Answer one focused question before editing code: How should World-to-screen transforms and clamping be used to accomplish this milestone: Implement a smooth camera that follows the player and remains inside map bounds.,The camera centers when possible and clamps cleanly near map edges.
542,ADA-P3-09-02,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Code Reading,Follow the Player with a Camera — Code Reading,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,"Read the current implementation around src/camera.ads, src/camera.adb. Trace how data enters, changes, and leaves the code for this milestone: Implement a smooth camera that follows the player and remains inside map bounds.",The camera centers when possible and clamps cleanly near map edges.
543,ADA-P3-09-03,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Predict,Follow the Player with a Camera — Predict,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Predict the exact behavior if the implementation encounters this problem: Updating world positions in screen coordinates or exposing camera offsets to domain code.,The camera centers when possible and clamps cleanly near map edges.
544,ADA-P3-09-04,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Implement,Follow the Player with a Camera — Implement,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Implement the core milestone in the existing rescue_run_sdl crate: Implement a smooth camera that follows the player and remains inside map bounds.,The camera centers when possible and clamps cleanly near map edges.
545,ADA-P3-09-05,Project 3 — Rescue Run SDL,Follow the Player with a Camera,Extend,Follow the Player with a Camera — Extend,~/Documents/src/projects/ada-mastery/rescue_run_sdl,src/camera.ads; src/camera.adb,Extend the completed milestone with this practical variation: Add camera shake as a separate effect layer.,The camera centers when possible and clamps cleanly near map edges.
